"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.55","false","1.0","1500","50","35","0.0","0.0","1.3333333333333333"
"1","43","1.066","2000","0.55","false","1.0","2000","50","35","0.0","0.0","1.3333333333333333"
"44","200","1.066","4500","0.55","false","1.0","4500","50","35","0.0","0.0","1.3333333333333333"
"201","410","1.066","3000","0.55","false","1.0","3000","50","35","0.0","0.0","1.3333333333333333"
"411","430","1.066","1250","0.55","false","1.0","1250","50","35","0.0","0.0","1.3333333333333333"
"431","500","1.066","1300","0.55","false","1.0","1300","50","35","0.0","0.0","1.3333333333333333"
"501","750","1.066","1300","0.55","false","1.0","1300","50","35","0.0","0.0","1.3333333333333333"
"751","950","1.066","1400","0.55","false","1.0","1400","50","35","0.0","0.0","1.3333333333333333"
"951","1066","1.066","1500","0.55","false","1.0","1500","50","35","0.0","0.0","1.3333333333333333"
"1067","1086","1.066","2000","0.55","false","1.0","2000","50","35","0.0","0.0","1.3333333333333333"
"1087","1190","1.066","3700","0.55","false","1.0","3700","50","35","0.0","0.0","1.3333333333333333"
"1191","1220","1.066","4800","0.55","false","1.0","4800","50","35","0.0","0.0","1.3333333333333333"
"1221","1250","1.066","5000","0.55","false","1.0","5000","50","35","0.0","0.0","1.3333333333333333"
"1251","1279","1.066","5300","0.55","false","1.0","5300","50","35","0.0","0.0","1.3333333333333333"
"1280","1290","1.066","5700","0.55","false","1.0","5700","50","35","0.0","0.0","1.3333333333333333"
"1291","1315","1.066","5600","0.55","false","1.0","5600","50","35","0.0","0.0","1.3333333333333333"
"1316","1325","1.066","5000","0.55","false","1.0","5000","50","35","0.0","0.0","1.3333333333333333"
"1326","1348","1.066","5700","0.55","false","1.0","5700","50","35","0.0","0.0","1.3333333333333333"
"1349","1351","1.066","3000","0.55","true","1.0","3000","50","35","0.0","0.0","1.3333333333333333"
"1352","1377","1.066","3000","0.55","false","1.0","3000","50","35","0.0","0.0","1.3333333333333333"
"1378","1400","1.066","2500","0.55","false","1.0","2500","50","35","0.0","0.0","1.3333333333333333"
"1401","1430","1.066","2400","0.55","false","1.0","2400","50","35","0.0","0.0","1.3333333333333333"
"1431","1450","1.066","2300","0.55","false","1.0","2300","50","35","0.0","0.0","1.3333333333333333"
"1451","1490","1.066","2600","0.55","false","1.0","2600","50","35","0.0","0.0","1.3333333333333333"
"1491","1522","1.066","2800","0.55","false","1.0","2800","50","35","0.0","0.0","1.3333333333333333"
"1523","1541","1.066","3400","0.55","false","1.0","3400","50","35","0.0","0.0","1.3333333333333333"
"1542","1560","1.066","3800","0.55","false","1.0","3800","50","35","0.0","0.0","1.3333333333333333"
"1561","1600","1.066","5000","0.55","false","1.0","5000","50","35","0.0","0.0","1.3333333333333333"
"1601","1650","1.066","6300","0.55","false","1.0","6300","50","35","0.0","0.0","1.3333333333333333"
"1651","1700","1.066","6200","0.55","false","1.0","6200","50","35","0.0","0.0","1.3333333333333333"
"1701","1801","1.066","11300","0.31","false","1.0","11300","51","35","0.0","0.0","1.3333333333333333"
"1802","1811","1.066","12500","0.38","false","1.0","12500","52","35","0.0","0.0","1.3333333333333333"
"1812","1821","1.066","13400","0.37","false","1.0","13400","53","35","0.0","0.0","1.3333333333333333"
"1822","1831","1.066","15800","0.41","false","1.0","15800","54","35","0.0","0.0","1.3333333333333333"
"1832","1841","1.066","20200","0.43","false","1.0","20200","55","35","0.0","0.0","1.3333333333333333"
"1842","1851","1.066","27400","0.48","false","1.0","27400","56","35","0.0","0.0","1.3333333333333333"
"1852","1861","1.066","29000","0.31","false","1.0","29000","57","35","0.0","0.0","1.3333333333333333"
"1862","1871","1.066","31500","0.33","false","1.0","31500","58","35","0.0","0.0","1.3333333333333333"
"1872","1881","1.066","35000","0.34","false","1.0","35000","59","35","0.0","0.0","1.3333333333333333"
"1882","1891","1.066","37800","0.3","false","1.0","37800","63","35","0.0","0.0","1.3333333333333333"
"1892","1901","1.066","38200","0.25","false","1.0","38200","65","35","0.0","0.0","1.3333333333333333"
"1902","1911","1.066","42100","0.26","false","1.0","42100","67","35","0.0","0.0","1.3333333333333333"
"1912","1921","1.066","44000","0.2","false","1.0","44000","72","35","0.0","0.0","1.3333333333333333"
"1922","1931","1.066","45000","0.12","false","1.0","45000","75","35","0.0","0.0","1.3333333333333333"
"1932","1941","1.066","50200","0.09","false","1.0","50200","77","35","0.0","0.0","1.3333333333333333"
"1942","1951","1.066","52800","0.1","false","1.0","52800","80","35","0.0","0.0","1.3333333333333333"
"1952","1961","1.066","55900","0.12","false","1.0","55900","85","35","0.0","0.0","1.3333333333333333"
"1962","1971","1.066","56300","0.08","false","1.0","56300","88","36","0.0","0.0","1.3333333333333333"
"1972","1981","1.066","57400","0.09","false","1.0","57400","88","36","0.0","0.0","1.3333333333333333"
"1982","1991","1.066","59300","0.08","false","1.0","59300","90","37","0.0","0.0","1.3333333333333333"
"1992","2001","1.066","63200","0.08","false","1.0","63200","90","38","0.0","0.0","1.3333333333333333"
"2002","2011","1.066","65600","0.07","false","1.0","65600","90","39","0.0","0.0","1.3333333333333333"
"2012","2015","1.066","66270","0.07","false","1.0","66270","90","40","0.0","0.0","1.3333333333333333"
