"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Min Fitness","Expected Max Population","Max Age","Max Breeding Age","Mutations","Modern"
"-50","0","75","0.07","false","1.0","75","85","85","5.0E-8","false"
"1","43","100","0.07","false","1.0","100","85","85","5.0E-8","false"
"44","200","225","0.07","false","1.0","225","85","85","5.0E-8","false"
"201","410","225","0.07","false","1.0","225","85","85","5.0E-8","false"
"411","430","62","0.07","false","1.0","62","85","85","5.0E-8","false"
"431","500","65","0.07","false","1.0","65","85","85","5.0E-8","false"
"501","750","65","0.07","false","1.0","65","85","85","5.0E-8","false"
"751","950","70","0.07","false","1.0","70","85","85","5.0E-8","false"
"951","1066","75","0.07","false","1.0","75","85","85","5.0E-8","false"
"1067","1086","100","0.07","false","1.0","100","85","85","5.0E-8","false"
"1087","1190","185","0.07","false","1.0","185","85","85","5.0E-8","false"
"1191","1220","240","0.07","false","1.0","240","85","85","5.0E-8","false"
"1221","1250","250","0.07","false","1.0","250","85","85","5.0E-8","false"
"1251","1279","265","0.07","false","1.0","265","85","85","5.0E-8","false"
"1280","1290","285","0.07","false","1.0","285","85","85","5.0E-8","false"
"1291","1315","280","0.07","false","1.0","280","85","85","5.0E-8","false"
"1316","1325","250","0.07","false","1.0","250","85","85","5.0E-8","false"
"1326","1348","285","0.07","false","1.0","285","85","85","5.0E-8","false"
"1349","1349","150","0.07","true","0.6361083","150","85","85","5.0E-8","false"
"1350","1377","150","0.07","false","0.6361083","150","85","85","5.0E-8","false"
"1378","1400","125","0.07","false","0.6361083","125","85","85","5.0E-8","false"
"1401","1430","120","0.07","false","0.6361083","120","85","85","5.0E-8","false"
"1431","1450","115","0.07","false","0.6361083","115","85","85","5.0E-8","false"
"1451","1490","130","0.07","false","0.6361083","130","85","85","5.0E-8","false"
"1491","1522","140","0.07","false","0.6361083","140","85","85","5.0E-8","false"
"1523","1541","170","0.35","false","0.6361083","170","85","85","5.0E-8","false"
"1542","1560","190","0.35","false","0.6361083","190","85","85","5.0E-8","false"
"1561","1600","250","0.31","false","0.6361083","250","85","85","5.0E-8","false"
"1601","1650","315","0.29","false","0.6361083","315","85","85","5.0E-8","false"
"1651","1699","310","0.26","false","0.6361083","310","85","85","5.0E-8","false"
"1700","1801","565","0.25","false","0.6361083","565","85","85","5.0E-8","true"
"1802","1811","625","0.28","false","0.6361083","625","85","85","5.0E-8","true"
"1812","1821","670","0.28","false","0.6361083","670","85","85","5.0E-8","true"
"1822","1831","790","0.26","false","0.6361083","790","85","85","5.0E-8","true"
"1832","1841","1010","0.25","false","0.6361083","1010","85","85","5.0E-8","true"
"1842","1851","1370","0.22","false","0.6361083","1370","85","85","5.0E-8","true"
"1852","1861","1450","0.25","false","0.6361083","1450","85","85","5.0E-8","true"
"1862","1871","1575","0.22","false","0.6361083","1575","85","85","5.0E-8","true"
"1872","1881","1750","0.21","false","0.6361083","1750","85","85","5.0E-8","true"
"1882","1891","1890","0.19","false","0.6361083","1890","85","85","5.0E-8","true"
"1892","1901","1910","0.18","false","0.6361083","1910","85","85","5.0E-8","true"
"1902","1911","2105","0.13","false","0.6361083","2105","85","85","5.0E-8","true"
"1912","1921","2200","0.14","false","0.6361083","2200","85","85","5.0E-8","true"
"1922","1931","2250","0.12","false","0.6361083","2250","85","85","5.0E-8","true"
"1932","1951","2510","0.07","false","0.6361083","2510","85","85","5.0E-8","true"
"1952","1961","2795","0.09","false","0.6361083","2795","85","85","5.0E-8","true"
"1962","1971","2815","0.1","false","0.6361083","2815","85","85","5.0E-8","true"
"1972","1981","2870","0.07","false","0.6361083","2870","85","85","5.0E-8","true"
"1982","1991","2965","0.1","false","0.6361083","2965","85","85","5.0E-8","true"
"1992","2001","3160","0.09","false","0.6361083","3160","85","85","5.0E-8","true"
"2002","2011","3280","0.09","false","0.6361083","3280","85","85","5.0E-8","true"
"2012","2014","3313","0.09","false","0.6361083","3313","85","85","5.0E-8","true"
"2015","2018","3322","0.09","false","0.6361083","3322","85","85","5.0E-8","true"
"2019","2019","0","0.09","true","0.6361083","3322","85","85","5.0E-8","true"
"2020","2050","0","0.07","false","0.799859565","3322","85","85","5.0E-8","true"
