"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Min Fitness","Expected Max Population","Max Age","Max Breeding Age","Mutations","Modern"
"-50","0","150","0.07","false","1.0","150","85","85","5.0E-6","false"
"1","43","200","0.07","false","1.0","200","85","85","5.0E-6","false"
"44","200","450","0.07","false","1.0","450","85","85","5.0E-6","false"
"201","410","450","0.07","false","1.0","450","85","85","5.0E-6","false"
"411","430","125","0.07","false","1.0","125","85","85","5.0E-6","false"
"431","500","130","0.07","false","1.0","130","85","85","5.0E-6","false"
"501","750","130","0.07","false","1.0","130","85","85","5.0E-6","false"
"751","950","140","0.07","false","1.0","140","85","85","5.0E-6","false"
"951","1066","150","0.07","false","1.0","150","85","85","5.0E-6","false"
"1067","1086","200","0.07","false","1.0","200","85","85","5.0E-6","false"
"1087","1190","370","0.07","false","1.0","370","85","85","5.0E-6","false"
"1191","1220","480","0.07","false","1.0","480","85","85","5.0E-6","false"
"1221","1250","500","0.07","false","1.0","500","85","85","5.0E-6","false"
"1251","1279","530","0.07","false","1.0","530","85","85","5.0E-6","false"
"1280","1290","570","0.07","false","1.0","570","85","85","5.0E-6","false"
"1291","1315","560","0.07","false","1.0","560","85","85","5.0E-6","false"
"1316","1325","500","0.07","false","1.0","500","85","85","5.0E-6","false"
"1326","1348","570","0.07","false","1.0","570","85","85","5.0E-6","false"
"1349","1349","300","0.07","true","0.6376952","300","85","85","5.0E-6","false"
"1350","1377","300","0.07","false","0.6376952","300","85","85","5.0E-6","false"
"1378","1400","250","0.07","false","0.6376952","250","85","85","5.0E-6","false"
"1401","1430","240","0.07","false","0.6376952","240","85","85","5.0E-6","false"
"1431","1450","230","0.07","false","0.6376952","230","85","85","5.0E-6","false"
"1451","1490","260","0.07","false","0.6376952","260","85","85","5.0E-6","false"
"1491","1522","280","0.07","false","0.6376952","280","85","85","5.0E-6","false"
"1523","1541","340","0.35","false","0.6376952","340","85","85","5.0E-6","false"
"1542","1560","380","0.35","false","0.6376952","380","85","85","5.0E-6","false"
"1561","1600","500","0.31","false","0.6376952","500","85","85","5.0E-6","false"
"1601","1650","630","0.29","false","0.6376952","630","85","85","5.0E-6","false"
"1651","1699","620","0.26","false","0.6376952","620","85","85","5.0E-6","false"
"1700","1801","1130","0.25","false","0.6376952","1130","85","85","5.0E-6","true"
"1802","1811","1250","0.28","false","0.6376952","1250","85","85","5.0E-6","true"
"1812","1821","1340","0.28","false","0.6376952","1340","85","85","5.0E-6","true"
"1822","1831","1580","0.26","false","0.6376952","1580","85","85","5.0E-6","true"
"1832","1841","2020","0.25","false","0.6376952","2020","85","85","5.0E-6","true"
"1842","1851","2740","0.22","false","0.6376952","2740","85","85","5.0E-6","true"
"1852","1861","2900","0.25","false","0.6376952","2900","85","85","5.0E-6","true"
"1862","1871","3150","0.22","false","0.6376952","3150","85","85","5.0E-6","true"
"1872","1881","3500","0.21","false","0.6376952","3500","85","85","5.0E-6","true"
"1882","1891","3780","0.19","false","0.6376952","3780","85","85","5.0E-6","true"
"1892","1901","3820","0.18","false","0.6376952","3820","85","85","5.0E-6","true"
"1902","1911","4210","0.13","false","0.6376952","4210","85","85","5.0E-6","true"
"1912","1921","4400","0.14","false","0.6376952","4400","85","85","5.0E-6","true"
"1922","1931","4500","0.12","false","0.6376952","4500","85","85","5.0E-6","true"
"1932","1951","5020","0.07","false","0.6376952","5020","85","85","5.0E-6","true"
"1952","1961","5590","0.09","false","0.6376952","5590","85","85","5.0E-6","true"
"1962","1971","5630","0.1","false","0.6376952","5630","85","85","5.0E-6","true"
"1972","1981","5740","0.07","false","0.6376952","5740","85","85","5.0E-6","true"
"1982","1991","5930","0.1","false","0.6376952","5930","85","85","5.0E-6","true"
"1992","2001","6320","0.09","false","0.6376952","6320","85","85","5.0E-6","true"
"2002","2011","6560","0.09","false","0.6376952","6560","85","85","5.0E-6","true"
"2012","2014","6627","0.09","false","0.6376952","6627","85","85","5.0E-6","true"
"2015","2018","6644","0.09","false","0.6376952","6644","85","85","5.0E-6","true"
"2019","2019","0","0.09","true","0.6376952","6644","85","85","5.0E-6","true"
"2020","2050","0","0.07","false","0.8007323599999999","6644","85","85","5.0E-6","true"
