Ackleys,Alpine,Brown,ChungReynolds,DixonPrice,Exponential,Griewank,Qing,Rastrigin,Rosenbrock,Salomon,SchumerSteiglitz,Schwefel220,Schwefel226,Sphere,StyblinksiTang,SumOfPowers,SumSquares,Trid,Zakharoy,FixedOne,FixedHalf,Random
3.83E-04,1.42E-04,3.86E-04,4.38E-04,3.83E-04,5.15E-04,5.04E-04,0.001909381,3.55E-04,2.93E-04,3.690494105,4.33E-04,4.56E-04,0.041571775,5.95E-04,6.59E-04,1.482481174,6.07E-04,1.60E-04,1.98E-04,0,0,0.051274609
3.73E-04,1.43E-04,3.94E-04,4.38E-04,3.51E-04,4.97E-04,5.08E-04,0.001937916,3.50E-04,3.04E-04,3.8850133,4.32E-04,4.73E-04,0.042091996,5.85E-04,6.30E-04,1.482481174,6.01E-04,1.46E-04,1.91E-04,0,0,0.051274609
3.64E-04,1.52E-04,4.11E-04,4.38E-04,3.47E-04,4.55E-04,5.13E-04,0.001910269,3.80E-04,3.12E-04,4.070907414,3.69E-04,4.35E-04,0.041453697,5.64E-04,6.30E-04,1.296021353,5.82E-04,1.15E-04,1.96E-04,0,0,0.051274609
3.55E-04,1.52E-04,3.86E-04,4.38E-04,3.27E-04,4.42E-04,5.01E-04,0.001842082,3.42E-04,2.81E-04,4.129837352,3.36E-04,3.71E-04,0.042314511,6.31E-04,6.16E-04,1.226697967,6.42E-04,1.53E-04,1.96E-04,0,0,0.051274609
3.46E-04,1.49E-04,3.86E-04,4.19E-04,3.18E-04,4.13E-04,5.01E-04,0.001599073,3.61E-04,2.81E-04,4.106396766,3.39E-04,3.64E-04,0.042314511,6.24E-04,6.36E-04,1.225456984,6.43E-04,1.56E-04,1.74E-04,0,0,0.060828104
3.69E-04,1.52E-04,3.69E-04,4.31E-04,3.22E-04,3.91E-04,5.18E-04,0.001499046,3.09E-04,2.65E-04,4.15802561,3.23E-04,3.64E-04,0.040733783,6.24E-04,6.44E-04,1.17391738,6.43E-04,1.51E-04,1.58E-04,0,0,0.055970886
3.79E-04,1.50E-04,3.66E-04,4.62E-04,2.72E-04,4.10E-04,4.39E-04,0.00146313,3.09E-04,2.55E-04,3.976551384,3.08E-04,3.46E-04,0.039801224,6.38E-04,6.74E-04,1.213787805,6.30E-04,1.51E-04,1.54E-04,0,0,0.04948398
3.68E-04,1.47E-04,3.77E-04,4.62E-04,2.65E-04,3.45E-04,4.53E-04,0.001496957,3.33E-04,2.61E-04,4.079133851,3.02E-04,3.42E-04,0.039801224,6.21E-04,6.62E-04,1.256921604,6.11E-04,1.67E-04,1.63E-04,0,0,0.048915338
3.46E-04,1.44E-04,3.11E-04,4.19E-04,2.53E-04,3.45E-04,4.39E-04,0.001496957,3.57E-04,2.20E-04,4.148228759,2.71E-04,2.75E-04,0.039801224,6.07E-04,6.49E-04,1.332124962,5.94E-04,1.67E-04,1.63E-04,0,0,0.045518563
3.25E-04,1.47E-04,3.02E-04,4.17E-04,2.56E-04,3.67E-04,4.40E-04,0.001420157,3.55E-04,2.16E-04,4.068074899,2.71E-04,2.77E-04,0.039801224,5.65E-04,6.43E-04,1.427498771,5.40E-04,1.67E-04,1.64E-04,0,0,0.043045138
3.18E-04,1.53E-04,2.70E-04,4.11E-04,2.55E-04,3.67E-04,4.40E-04,0.001308878,3.39E-04,1.87E-04,4.185122159,2.73E-04,2.79E-04,0.037943191,5.54E-04,6.32E-04,1.466146571,5.28E-04,1.67E-04,1.72E-04,0,0,0.045985545
3.15E-04,1.53E-04,2.53E-04,3.94E-04,2.53E-04,3.67E-04,4.22E-04,0.001308878,3.42E-04,1.79E-04,4.129932361,2.80E-04,2.84E-04,0.037943191,5.82E-04,6.72E-04,1.445783945,5.52E-04,1.67E-04,1.72E-04,0,0,0.045985545
3.12E-04,1.50E-04,2.45E-04,3.75E-04,2.48E-04,3.67E-04,4.07E-04,0.001317016,3.60E-04,1.75E-04,4.058957123,2.79E-04,2.88E-04,0.036779966,5.49E-04,6.74E-04,1.445783945,5.17E-04,1.67E-04,1.72E-04,0,0,0.045985545
3.03E-04,1.48E-04,2.73E-04,3.77E-04,2.44E-04,3.67E-04,4.39E-04,0.001317016,3.38E-04,2.03E-04,4.058957123,2.87E-04,2.79E-04,0.035742977,5.85E-04,6.53E-04,1.488049935,5.36E-04,1.67E-04,1.72E-04,0,0,0.045985545
3.03E-04,1.49E-04,2.75E-04,3.34E-04,2.38E-04,3.67E-04,4.33E-04,0.001360248,3.38E-04,2.06E-04,3.997745201,2.86E-04,2.78E-04,0.035116733,5.85E-04,6.53E-04,1.452115208,5.36E-04,1.97E-04,1.68E-04,0,0,0.048196219
3.03E-04,1.63E-04,2.70E-04,3.34E-04,2.38E-04,3.58E-04,4.28E-04,0.001360248,3.29E-04,2.06E-04,3.948900221,2.86E-04,2.78E-04,0.034036101,5.85E-04,6.65E-04,1.391542821,5.36E-04,1.95E-04,1.68E-04,0,0,0.054859272
2.81E-04,1.73E-04,2.62E-04,3.34E-04,2.35E-04,3.72E-04,4.28E-04,0.001354583,3.29E-04,2.01E-04,3.629690755,2.84E-04,2.73E-04,0.033622934,6.29E-04,6.35E-04,0.941474067,5.70E-04,1.95E-04,1.73E-04,0,0,0.057260172
2.82E-04,1.88E-04,2.62E-04,3.34E-04,2.25E-04,3.72E-04,4.29E-04,0.001318889,3.32E-04,2.14E-04,3.553993196,2.98E-04,3.29E-04,0.032403008,5.86E-04,6.94E-04,0.897531889,5.39E-04,1.90E-04,1.63E-04,0,0,0.050721454
2.67E-04,1.87E-04,2.62E-04,3.41E-04,1.97E-04,3.72E-04,4.68E-04,0.001493752,3.32E-04,2.15E-04,3.462711205,2.20E-04,2.18E-04,0.032403008,5.71E-04,7.22E-04,0.856405448,5.40E-04,2.03E-04,1.71E-04,0,0,0.05162065
2.67E-04,1.85E-04,2.62E-04,3.41E-04,2.01E-04,4.34E-04,4.90E-04,0.001394203,3.58E-04,2.22E-04,3.410675251,2.32E-04,2.10E-04,0.036936542,5.71E-04,7.04E-04,0.78115977,5.40E-04,2.23E-04,1.74E-04,0,0,0.049767687
